Dataset,Evaluation metric,Metric value
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9164179104477612
WaveGlove-multi,Accuracy,0.9134328358208955
WaveGlove-multi,Accuracy,0.9223880597014925
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.8985074626865671
WaveGlove-multi,Accuracy,0.9213930348258706
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.9114427860696518
WaveGlove-multi,Accuracy,0.9124378109452737
WaveGlove-multi,Accuracy,0.9044776119402985
WaveGlove-multi,Accuracy,0.9283582089552239
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9054726368159204
WaveGlove-multi,Accuracy,0.9154228855721394
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.9144278606965174
WaveGlove-multi,Accuracy,0.9144278606965174
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.9253731343283582
WaveGlove-multi,Accuracy,0.9253731343283582
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.9064676616915422
WaveGlove-multi,Accuracy,0.9203980099502488
WaveGlove-multi,Accuracy,0.9233830845771144
WaveGlove-multi,Accuracy,0.9203980099502488
WaveGlove-multi,Accuracy,0.9263681592039801
WaveGlove-multi,Accuracy,0.9124378109452737
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.9273631840796019
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.9233830845771144
WaveGlove-multi,Accuracy,0.9293532338308458
WaveGlove-multi,Accuracy,0.936318407960199
WaveGlove-multi,Accuracy,0.9353233830845771
WaveGlove-multi,Accuracy,0.9213930348258706
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.9164179104477612
WaveGlove-multi,Accuracy,0.9014925373134328
WaveGlove-multi,Accuracy,0.9223880597014925
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9233830845771144
WaveGlove-multi,Accuracy,0.9223880597014925
WaveGlove-multi,Accuracy,0.8965174129353234
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9104477611940298
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9114427860696518
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.9283582089552239
WaveGlove-multi,Accuracy,0.9263681592039801
WaveGlove-multi,Accuracy,0.9024875621890547
WaveGlove-multi,Accuracy,0.9203980099502488
WaveGlove-multi,Accuracy,0.9223880597014925
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.9034825870646767
WaveGlove-multi,Accuracy,0.9263681592039801
WaveGlove-multi,Accuracy,0.9044776119402985
WaveGlove-multi,Accuracy,0.9074626865671642
WaveGlove-multi,Accuracy,0.9383084577114428
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.9303482587064676
WaveGlove-multi,Accuracy,0.9203980099502488
WaveGlove-multi,Accuracy,0.909452736318408
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9084577114427861
WaveGlove-multi,Accuracy,0.9203980099502488
WaveGlove-multi,Accuracy,0.8995024875621891
WaveGlove-multi,Accuracy,0.9154228855721394
WaveGlove-multi,Accuracy,0.9074626865671642
WaveGlove-multi,Accuracy,0.9024875621890547
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.9253731343283582
WaveGlove-multi,Accuracy,0.9223880597014925
WaveGlove-multi,Accuracy,0.9174129353233831
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9014925373134328
WaveGlove-multi,Accuracy,0.918407960199005
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9154228855721394
WaveGlove-multi,Accuracy,0.9104477611940298
WaveGlove-multi,Accuracy,0.936318407960199
WaveGlove-multi,Accuracy,0.9213930348258706
WaveGlove-multi,Accuracy,0.9074626865671642
WaveGlove-multi,Accuracy,0.9124378109452737
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9194029850746268
WaveGlove-multi,Accuracy,0.9164179104477612
WaveGlove-multi,Accuracy,0.9054726368159204
WaveGlove-multi,Accuracy,0.9243781094527364
WaveGlove-multi,Accuracy,0.9134328358208955
WaveGlove-multi,Accuracy,0.9074626865671642
WaveGlove-multi,Recall,0.9387060387281724
WaveGlove-multi,Recall,0.9336641612557695
WaveGlove-multi,Recall,0.9304962258682388
WaveGlove-multi,Recall,0.9403693502109416
WaveGlove-multi,Recall,0.9370553110599142
WaveGlove-multi,Recall,0.9398041776013824
WaveGlove-multi,Recall,0.9177097967186364
WaveGlove-multi,Recall,0.9342882457870918
WaveGlove-multi,Recall,0.931640614434264
WaveGlove-multi,Recall,0.9287485157464951
WaveGlove-multi,Recall,0.923450163772955
