Dataset,Evaluation metric,Metric value
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9950248756218906
WaveGlove-multi,Accuracy,0.9940298507462688
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9890547263681592
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9970149253731344
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9870646766169154
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Accuracy,0.9860696517412936
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9870646766169154
WaveGlove-multi,Accuracy,0.9850746268656716
WaveGlove-multi,Accuracy,0.9860696517412936
WaveGlove-multi,Accuracy,0.9950248756218906
WaveGlove-multi,Accuracy,0.9950248756218906
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9890547263681592
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Accuracy,0.9920398009950248
WaveGlove-multi,Accuracy,0.9860696517412936
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Accuracy,0.9980099502487564
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9890547263681592
WaveGlove-multi,Accuracy,0.9930348258706468
WaveGlove-multi,Accuracy,0.9880597014925372
WaveGlove-multi,Accuracy,0.9950248756218906
WaveGlove-multi,Accuracy,0.9940298507462688
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9890547263681592
WaveGlove-multi,Accuracy,0.9910447761194028
WaveGlove-multi,Accuracy,0.9880597014925372
WaveGlove-multi,Accuracy,0.9900497512437813
WaveGlove-multi,Recall,0.9925121168950556
WaveGlove-multi,Recall,0.9920393471955268
WaveGlove-multi,Recall,0.99605014469412
WaveGlove-multi,Recall,0.9950514157160528
WaveGlove-multi,Recall,0.9901958568142564
WaveGlove-multi,Recall,0.9943751119452804
WaveGlove-multi,Recall,0.9922219862759708
WaveGlove-multi,Recall,0.9877538816190244
WaveGlove-multi,Recall,0.9929321897519156
WaveGlove-multi,Recall,0.9909130210322278
